,track_id,track_name,artist,duration_ms,user,track_id,acousticness,danceability,energy,liveness,speechiness,instrumentalness,valence,loudness,tempo
39,0lLtk96rwrlSLQDKTKkejx,When You're Looking Like That - Single Remix,Westlife,232760,user1,0lLtk96rwrlSLQDKTKkejx,0.0199,0.6,0.932,0.0772,0.05,0.0,0.922,-4.598,147.941
40,7kFeKgEMectYhJATDraG9S,The Bombay Velvet Theme,Amit Trivedi,289008,user2,7kFeKgEMectYhJATDraG9S,0.244,0.463,0.42,0.0997,0.0343,0.899,0.106,-11.493,104.898
41,6R1L7mPCBlBIkRWK9lwMuQ,"Aya Aya Kalaakaar - From ""Kalaakaar""",Shankar Mahadevan,256455,user2,6R1L7mPCBlBIkRWK9lwMuQ,0.011,0.689,0.795,0.395,0.199,0.000124,0.628,-6.121,180.161
42,58zNxctExLN2X6xDH0crtC,Never Be Alone,Shawn Mendes,215800,user1,58zNxctExLN2X6xDH0crtC,0.517,0.377,0.466,0.0781,0.0352,5.63e-05,0.276,-6.927,199.847
43,25qwXTkcpwW4Qb4FwEP1MB,Yahaan Vahaan,Pritam,211258,user2,25qwXTkcpwW4Qb4FwEP1MB,0.879,0.392,0.564,0.14,0.0675,0.0,0.517,-5.117,81.173
44,1YGvvTwsMI67MJCmQpLAPO,Rajvaadi Odhni,Jonita Gandhi,240517,user2,1YGvvTwsMI67MJCmQpLAPO,0.33,0.67,0.964,0.142,0.138,0.00227,0.487,-4.958,115.959
45,3Te3gG6MPEDNqLGzWrjKC3,Nothing Without You,The Weeknd,198653,user2,3Te3gG6MPEDNqLGzWrjKC3,0.064,0.599,0.635,0.0878,0.0679,0.0,0.194,-8.101,109.919
46,6smXROvCZcxXM2x5tZiEBK,Falak Tak - Violin Version (Instrumental),Vishal-Shekhar,331666,user2,6smXROvCZcxXM2x5tZiEBK,0.15,0.669,0.775,0.0726,0.0502,0.0292,0.605,-6.253,144.0
47,0mvGCFLsclNrfnLIH0bzTx,"Makka Madeena - From ""Adaminte Makan Abu""",Shankar Mahadevan,330666,user2,0mvGCFLsclNrfnLIH0bzTx,0.179,0.386,0.729,0.108,0.121,0.0,0.564,-6.296,169.956
48,0jrc524DJ1tUXXjMItOJdN,Rabba,Amit Trivedi,359320,user2,0jrc524DJ1tUXXjMItOJdN,0.407,0.743,0.83,0.0955,0.0661,4.9e-06,0.485,-5.198,90.008
49,4gyEiCJUp7MQJrErW5RWkt,Roses - MTV Unplugged,Shawn Mendes,254213,user1,4gyEiCJUp7MQJrErW5RWkt,0.79,0.372,0.322,0.357,0.0353,0.0,0.468,-11.229,146.676
